Zeit; Event; Ursache; Info
2018-12-01 12:51:24;Aus Standbymodus aufgeweckt;;
2018-12-01 12:54:28;In Standbymodus versetzt;Application API;
2018-12-01 16:51:24;Aus Standbymodus aufgeweckt;;
2018-12-01 17:10:17;In Standbymodus versetzt;Application API;
2018-12-01 19:23:20;Aus Standbymodus aufgeweckt;;
2018-12-01 19:28:50;In Standbymodus versetzt;Application API;
2018-12-01 23:11:42;Aus Standbymodus aufgeweckt;;
2018-12-01 23:12:15;In Standbymodus versetzt;Application API;
2018-12-02 06:19:36;Aus Standbymodus aufgeweckt;;
2018-12-02 07:08:15;In Standbymodus versetzt;Application API;
2018-12-02 09:41:50;Aus Standbymodus aufgeweckt;;
2018-12-02 09:41:57;In Standbymodus versetzt;Application API;
2018-12-02 12:09:31;Aus Standbymodus aufgeweckt;;
2018-12-02 12:19:27;In Standbymodus versetzt;Application API;
2018-12-02 13:39:18;Aus Standbymodus aufgeweckt;;
2018-12-02 13:40:41;In Standbymodus versetzt;Application API;
2018-12-02 16:46:28;Aus Standbymodus aufgeweckt;;
2018-12-02 16:54:08;Heruntergefahren;;
2018-12-02 16:54:21;Start;;
2018-12-02 17:00:11;Heruntergefahren;;
2018-12-02 17:00:30;Start;;
2018-12-02 17:03:20;In Standbymodus versetzt;Application API;
2018-12-02 18:12:28;Aus Standbymodus aufgeweckt;;
2018-12-02 18:16:41;In Standbymodus versetzt;Application API;
2018-12-02 18:37:56;Aus Standbymodus aufgeweckt;;
2018-12-02 18:44:06;In Standbymodus versetzt;Application API;
2018-12-02 20:24:24;Aus Standbymodus aufgeweckt;;
2018-12-02 20:24:53;In Standbymodus versetzt;Application API;
2018-12-03 06:07:51;Aus Standbymodus aufgeweckt;;
2018-12-03 06:42:50;In Standbymodus versetzt;Application API;
2018-12-03 06:58:19;Aus Standbymodus aufgeweckt;;
2018-12-03 07:12:22;In Standbymodus versetzt;Application API;
2018-12-03 08:31:41;Aus Standbymodus aufgeweckt;;
2018-12-03 08:37:44;In Standbymodus versetzt;Application API;
2018-12-03 08:40:19;Aus Standbymodus aufgeweckt;;
2018-12-03 08:42:20;In Standbymodus versetzt;Application API;
2018-12-03 09:06:21;Aus Standbymodus aufgeweckt;;
2018-12-03 09:32:12;In Standbymodus versetzt;Application API;
2018-12-03 11:26:13;Aus Standbymodus aufgeweckt;;
2018-12-03 11:56:32;In Standbymodus versetzt;Application API;
2018-12-03 12:44:36;Aus Standbymodus aufgeweckt;;
2018-12-03 12:47:04;In Standbymodus versetzt;Application API;
2018-12-03 19:32:49;Aus Standbymodus aufgeweckt;;
2018-12-03 19:39:18;In Standbymodus versetzt;Application API;
2018-12-03 22:16:41;Aus Standbymodus aufgeweckt;;
2018-12-03 22:16:56;In Standbymodus versetzt;Application API;
2018-12-04 06:25:28;Aus Standbymodus aufgeweckt;;
2018-12-04 07:09:30;In Standbymodus versetzt;Application API;
2018-12-04 09:18:36;Aus Standbymodus aufgeweckt;;
2018-12-04 09:29:20;In Standbymodus versetzt;System idle;
2018-12-04 09:31:40;Aus Standbymodus aufgeweckt;;
2018-12-04 09:54:05;In Standbymodus versetzt;Application API;
2018-12-04 10:16:37;Aus Standbymodus aufgeweckt;;
2018-12-04 10:33:08;In Standbymodus versetzt;Application API;
2018-12-04 10:40:48;Aus Standbymodus aufgeweckt;;
2018-12-04 10:46:33;In Standbymodus versetzt;Application API;
2018-12-04 11:16:35;Aus Standbymodus aufgeweckt;;
2018-12-04 11:27:53;In Standbymodus versetzt;Application API;
2018-12-04 11:47:43;Aus Standbymodus aufgeweckt;;
2018-12-04 12:01:27;In Standbymodus versetzt;Application API;
2018-12-04 16:06:42;Aus Standbymodus aufgeweckt;;
2018-12-04 16:25:31;In Standbymodus versetzt;Application API;
2018-12-04 16:28:13;Aus Standbymodus aufgeweckt;;
2018-12-04 16:53:14;In Standbymodus versetzt;Application API;
2018-12-04 17:10:57;Aus Standbymodus aufgeweckt;;
2018-12-04 17:11:40;In Standbymodus versetzt;Application API;
2018-12-04 17:18:22;Aus Standbymodus aufgeweckt;;
2018-12-04 17:23:55;In Standbymodus versetzt;Application API;
2018-12-04 17:47:07;Aus Standbymodus aufgeweckt;;
2018-12-04 17:54:25;In Standbymodus versetzt;Application API;
2018-12-04 21:33:03;Aus Standbymodus aufgeweckt;;
2018-12-04 21:39:16;In Standbymodus versetzt;Application API;
2018-12-05 06:13:09;Aus Standbymodus aufgeweckt;;
2018-12-05 07:05:37;In Standbymodus versetzt;Application API;
2018-12-05 08:52:21;Aus Standbymodus aufgeweckt;;
2018-12-05 09:38:02;In Standbymodus versetzt;Application API;
2018-12-05 12:21:18;Aus Standbymodus aufgeweckt;;
2018-12-05 12:21:56;In Standbymodus versetzt;Application API;
2018-12-05 12:49:32;Aus Standbymodus aufgeweckt;;
2018-12-05 13:04:56;In Standbymodus versetzt;Application API;
2018-12-05 16:25:22;Aus Standbymodus aufgeweckt;;
2018-12-05 16:54:48;In Standbymodus versetzt;System idle;
2018-12-05 18:07:49;Aus Standbymodus aufgeweckt;;
2018-12-05 18:17:50;In Standbymodus versetzt;Application API;
2018-12-05 18:43:28;Aus Standbymodus aufgeweckt;;
2018-12-05 18:48:00;In Standbymodus versetzt;Application API;
2018-12-05 21:47:35;Aus Standbymodus aufgeweckt;;
2018-12-05 21:48:55;In Standbymodus versetzt;Application API;
2018-12-06 06:14:36;Aus Standbymodus aufgeweckt;;
2018-12-06 06:57:24;In Standbymodus versetzt;Application API;
2018-12-06 09:12:05;Aus Standbymodus aufgeweckt;;
2018-12-06 09:23:17;In Standbymodus versetzt;System idle;
2018-12-06 09:30:15;Aus Standbymodus aufgeweckt;;
2018-12-06 10:00:56;In Standbymodus versetzt;Application API;
2018-12-06 12:17:41;Aus Standbymodus aufgeweckt;;
2018-12-06 12:18:07;In Standbymodus versetzt;Application API;
2018-12-06 16:14:52;Aus Standbymodus aufgeweckt;;
2018-12-06 16:27:36;In Standbymodus versetzt;Application API;
2018-12-06 21:23:50;Aus Standbymodus aufgeweckt;;
2018-12-06 21:37:24;In Standbymodus versetzt;Application API;
2018-12-07 06:14:43;Aus Standbymodus aufgeweckt;;
2018-12-07 07:08:47;In Standbymodus versetzt;Application API;
2018-12-07 09:43:39;Aus Standbymodus aufgeweckt;;
2018-12-07 09:43:59;In Standbymodus versetzt;Application API;
2018-12-07 11:00:57;Aus Standbymodus aufgeweckt;;
2018-12-07 11:04:58;Heruntergefahren;;
2018-12-07 11:05:19;Start;;
2018-12-07 11:21:09;In Standbymodus versetzt;Application API;
2018-12-07 13:16:16;Aus Standbymodus aufgeweckt;;
2018-12-07 13:16:38;In Standbymodus versetzt;Application API;
2018-12-07 15:57:47;Aus Standbymodus aufgeweckt;;
2018-12-07 16:07:32;In Standbymodus versetzt;Application API;
2018-12-07 19:14:45;Aus Standbymodus aufgeweckt;;
2018-12-07 19:40:30;In Standbymodus versetzt;Application API;
2018-12-08 06:12:38;Aus Standbymodus aufgeweckt;;
2018-12-08 06:15:14;In Standbymodus versetzt;Application API;
2018-12-08 06:22:38;Aus Standbymodus aufgeweckt;;
2018-12-08 06:32:11;In Standbymodus versetzt;Application API;
2018-12-08 06:45:41;Aus Standbymodus aufgeweckt;;
2018-12-08 06:49:32;In Standbymodus versetzt;Application API;
2018-12-08 06:54:12;Aus Standbymodus aufgeweckt;;
2018-12-08 07:11:53;In Standbymodus versetzt;Application API;
2018-12-08 09:57:32;Aus Standbymodus aufgeweckt;;
2018-12-08 10:32:13;In Standbymodus versetzt;Application API;
2018-12-08 11:30:56;Aus Standbymodus aufgeweckt;;
2018-12-08 11:32:30;In Standbymodus versetzt;Application API;
2018-12-08 12:02:20;Aus Standbymodus aufgeweckt;;
2018-12-08 12:07:27;In Standbymodus versetzt;Application API;
2018-12-08 16:02:01;Aus Standbymodus aufgeweckt;;
2018-12-08 16:26:00;In Standbymodus versetzt;Application API;
2018-12-08 19:19:32;Aus Standbymodus aufgeweckt;;
2018-12-08 19:20:12;In Standbymodus versetzt;Application API;
2018-12-09 06:48:49;Aus Standbymodus aufgeweckt;;
2018-12-09 07:08:46;In Standbymodus versetzt;Application API;
2018-12-09 13:00:49;Aus Standbymodus aufgeweckt;;
2018-12-09 13:06:33;In Standbymodus versetzt;Application API;
2018-12-09 18:33:42;Aus Standbymodus aufgeweckt;;
2018-12-09 18:41:24;In Standbymodus versetzt;Application API;
2018-12-09 20:41:34;Aus Standbymodus aufgeweckt;;
2018-12-09 20:42:09;In Standbymodus versetzt;Application API;
2018-12-10 06:12:07;Aus Standbymodus aufgeweckt;;
2018-12-10 06:26:57;Heruntergefahren;;
2018-12-10 06:27:12;Start;;
2018-12-10 07:12:06;In Standbymodus versetzt;Application API;
2018-12-10 08:13:50;Aus Standbymodus aufgeweckt;;
2018-12-10 08:18:56;In Standbymodus versetzt;System idle;
2018-12-10 08:21:41;Aus Standbymodus aufgeweckt;;
2018-12-10 08:48:10;In Standbymodus versetzt;System idle;
2018-12-10 11:54:40;Aus Standbymodus aufgeweckt;;
2018-12-10 11:58:08;In Standbymodus versetzt;Application API;
2018-12-10 13:02:07;Aus Standbymodus aufgeweckt;;
2018-12-10 13:05:13;In Standbymodus versetzt;Application API;
2018-12-10 13:16:25;Aus Standbymodus aufgeweckt;;
2018-12-10 13:24:35;In Standbymodus versetzt;Application API;
2018-12-10 13:27:46;Aus Standbymodus aufgeweckt;;
2018-12-10 13:30:59;In Standbymodus versetzt;Application API;
2018-12-10 16:15:48;Aus Standbymodus aufgeweckt;;
2018-12-10 16:51:43;In Standbymodus versetzt;Application API;
2018-12-10 16:59:01;Aus Standbymodus aufgeweckt;;
2018-12-10 17:09:44;In Standbymodus versetzt;Application API;
2018-12-10 18:17:19;Aus Standbymodus aufgeweckt;;
2018-12-10 18:39:51;In Standbymodus versetzt;Application API;
2018-12-10 18:40:37;Aus Standbymodus aufgeweckt;;
2018-12-10 18:41:06;In Standbymodus versetzt;Application API;
2018-12-10 21:41:54;Aus Standbymodus aufgeweckt;;
2018-12-10 21:42:14;In Standbymodus versetzt;Application API;
2018-12-11 06:01:19;Aus Standbymodus aufgeweckt;;
2018-12-11 06:09:41;In Standbymodus versetzt;Application API;
2018-12-11 06:20:50;Aus Standbymodus aufgeweckt;;
2018-12-11 06:37:17;In Standbymodus versetzt;Application API;
2018-12-11 06:45:00;Aus Standbymodus aufgeweckt;;
2018-12-11 07:08:48;In Standbymodus versetzt;Application API;
2018-12-11 08:45:07;Aus Standbymodus aufgeweckt;;
2018-12-11 08:54:24;In Standbymodus versetzt;System idle;
2018-12-11 12:43:30;Aus Standbymodus aufgeweckt;;
2018-12-11 12:56:23;In Standbymodus versetzt;Application API;
2018-12-11 13:52:18;Aus Standbymodus aufgeweckt;;
2018-12-11 14:00:03;In Standbymodus versetzt;Application API;
2018-12-11 14:31:45;Aus Standbymodus aufgeweckt;;
2018-12-11 14:36:17;In Standbymodus versetzt;Application API;
2018-12-11 16:05:11;Aus Standbymodus aufgeweckt;;
2018-12-11 16:07:26;In Standbymodus versetzt;Application API;
2018-12-11 19:28:13;Aus Standbymodus aufgeweckt;;
2018-12-11 19:28:48;In Standbymodus versetzt;Application API;
2018-12-11 20:03:38;Aus Standbymodus aufgeweckt;;
2018-12-11 20:04:45;In Standbymodus versetzt;Application API;
2018-12-12 06:28:45;Aus Standbymodus aufgeweckt;;
2018-12-12 07:05:47;In Standbymodus versetzt;Application API;
2018-12-12 12:35:05;Aus Standbymodus aufgeweckt;;
2018-12-12 12:43:19;In Standbymodus versetzt;Application API;
2018-12-12 17:15:25;Aus Standbymodus aufgeweckt;;
2018-12-12 17:27:09;Heruntergefahren;;
2018-12-12 17:29:35;Start;;
2018-12-12 17:30:56;Heruntergefahren;;
2018-12-12 17:31:59;Start;;
2018-12-12 17:33:12;In Standbymodus versetzt;Application API;
2018-12-12 19:22:36;Aus Standbymodus aufgeweckt;;
2018-12-12 19:47:01;In Standbymodus versetzt;Application API;
2018-12-13 06:11:15;Aus Standbymodus aufgeweckt;;
2018-12-13 06:52:24;In Standbymodus versetzt;Application API;
2018-12-13 09:48:39;Aus Standbymodus aufgeweckt;;
2018-12-13 09:49:00;In Standbymodus versetzt;Application API;
2018-12-13 10:48:02;Aus Standbymodus aufgeweckt;;
2018-12-13 10:52:13;In Standbymodus versetzt;System idle;
2018-12-13 12:13:28;Aus Standbymodus aufgeweckt;;
2018-12-13 12:14:00;In Standbymodus versetzt;Application API;
2018-12-13 16:22:31;Aus Standbymodus aufgeweckt;;
2018-12-13 16:24:05;In Standbymodus versetzt;Application API;
2018-12-13 17:57:31;Aus Standbymodus aufgeweckt;;
2018-12-13 18:11:30;In Standbymodus versetzt;Application API;
2018-12-13 19:22:04;Aus Standbymodus aufgeweckt;;
2018-12-13 19:25:27;In Standbymodus versetzt;Application API;
2018-12-14 06:22:35;Aus Standbymodus aufgeweckt;;
2018-12-14 07:13:18;In Standbymodus versetzt;Application API;
2018-12-14 09:11:24;Aus Standbymodus aufgeweckt;;
2018-12-14 09:48:35;In Standbymodus versetzt;System idle;
2018-12-14 11:24:27;Aus Standbymodus aufgeweckt;;
2018-12-14 11:30:08;In Standbymodus versetzt;Application API;
2018-12-14 11:33:28;Aus Standbymodus aufgeweckt;;
2018-12-14 11:33:58;In Standbymodus versetzt;Application API;
2018-12-14 18:04:55;Aus Standbymodus aufgeweckt;;
2018-12-14 18:08:31;In Standbymodus versetzt;Application API;
2018-12-14 21:26:57;Aus Standbymodus aufgeweckt;;
2018-12-14 21:27:49;In Standbymodus versetzt;Application API;
2018-12-15 06:18:05;Aus Standbymodus aufgeweckt;;
2018-12-15 07:10:37;In Standbymodus versetzt;Application API;
2018-12-15 07:58:49;Aus Standbymodus aufgeweckt;;
2018-12-15 07:59:52;In Standbymodus versetzt;Application API;
2018-12-15 10:21:26;Aus Standbymodus aufgeweckt;;
2018-12-15 10:28:53;In Standbymodus versetzt;Application API;
2018-12-15 10:29:44;Aus Standbymodus aufgeweckt;;
2018-12-15 10:32:07;In Standbymodus versetzt;Application API;
2018-12-15 11:54:22;Aus Standbymodus aufgeweckt;;
2018-12-15 12:09:17;In Standbymodus versetzt;Application API;
2018-12-15 12:18:06;Aus Standbymodus aufgeweckt;;
2018-12-15 12:21:52;In Standbymodus versetzt;Application API;
2018-12-15 12:38:50;Aus Standbymodus aufgeweckt;;
2018-12-15 12:54:42;In Standbymodus versetzt;Application API;
2018-12-15 12:54:56;Aus Standbymodus aufgeweckt;;
2018-12-15 12:56:02;In Standbymodus versetzt;Application API;
2018-12-15 14:37:38;Aus Standbymodus aufgeweckt;;
2018-12-15 14:38:15;In Standbymodus versetzt;Application API;
2018-12-15 16:13:44;Aus Standbymodus aufgeweckt;;
2018-12-15 16:14:03;In Standbymodus versetzt;Application API;
2018-12-15 18:33:18;Aus Standbymodus aufgeweckt;;
2018-12-15 18:34:21;In Standbymodus versetzt;Application API;
2018-12-15 19:51:10;Aus Standbymodus aufgeweckt;;
2018-12-15 19:51:21;In Standbymodus versetzt;Application API;
2018-12-16 06:15:08;Aus Standbymodus aufgeweckt;;
2018-12-16 06:53:13;In Standbymodus versetzt;Application API;
2018-12-16 09:56:59;Aus Standbymodus aufgeweckt;;
2018-12-16 10:01:52;In Standbymodus versetzt;Application API;
2018-12-16 10:35:30;Aus Standbymodus aufgeweckt;;
2018-12-16 10:46:22;In Standbymodus versetzt;Application API;
2018-12-16 11:21:53;Aus Standbymodus aufgeweckt;;
2018-12-16 11:27:25;In Standbymodus versetzt;Application API;
2018-12-16 11:28:01;Aus Standbymodus aufgeweckt;;
2018-12-16 11:28:12;In Standbymodus versetzt;Application API;
2018-12-16 12:13:26;Aus Standbymodus aufgeweckt;;
2018-12-16 12:32:39;In Standbymodus versetzt;Application API;
2018-12-16 14:56:26;Aus Standbymodus aufgeweckt;;
2018-12-16 14:57:36;In Standbymodus versetzt;Application API;
2018-12-16 16:27:36;Aus Standbymodus aufgeweckt;;
2018-12-16 16:36:29;In Standbymodus versetzt;Application API;
2018-12-16 17:52:56;Aus Standbymodus aufgeweckt;;
2018-12-16 18:12:38;In Standbymodus versetzt;Application API;
2018-12-17 06:03:28;Aus Standbymodus aufgeweckt;;
2018-12-17 07:03:12;In Standbymodus versetzt;Application API;
2018-12-17 07:03:24;Aus Standbymodus aufgeweckt;;
2018-12-17 07:05:31;In Standbymodus versetzt;Application API;
2018-12-17 09:37:02;Aus Standbymodus aufgeweckt;;
2018-12-17 09:50:53;In Standbymodus versetzt;Application API;
2018-12-17 15:54:56;Aus Standbymodus aufgeweckt;;
2018-12-17 16:24:56;In Standbymodus versetzt;Application API;
2018-12-17 17:09:54;Aus Standbymodus aufgeweckt;;
2018-12-17 17:12:43;In Standbymodus versetzt;Application API;
2018-12-17 18:14:01;Aus Standbymodus aufgeweckt;;
2018-12-17 18:15:21;In Standbymodus versetzt;Application API;
2018-12-17 19:30:38;Aus Standbymodus aufgeweckt;;
2018-12-17 19:31:12;In Standbymodus versetzt;Application API;
2018-12-18 06:20:38;Aus Standbymodus aufgeweckt;;
2018-12-18 07:11:25;In Standbymodus versetzt;Application API;
2018-12-18 09:56:47;Aus Standbymodus aufgeweckt;;
2018-12-18 09:57:39;In Standbymodus versetzt;Application API;
2018-12-18 10:49:27;Aus Standbymodus aufgeweckt;;
2018-12-18 10:52:56;In Standbymodus versetzt;Application API;
2018-12-18 12:06:02;Aus Standbymodus aufgeweckt;;
2018-12-18 12:07:11;In Standbymodus versetzt;Application API;
2018-12-18 12:40:36;Aus Standbymodus aufgeweckt;;
2018-12-18 12:51:43;In Standbymodus versetzt;Application API;
2018-12-18 16:00:25;Aus Standbymodus aufgeweckt;;
2018-12-18 16:30:54;In Standbymodus versetzt;Application API;
2018-12-18 17:09:11;Aus Standbymodus aufgeweckt;;
2018-12-18 17:40:19;In Standbymodus versetzt;Application API;
2018-12-18 19:29:26;Aus Standbymodus aufgeweckt;;
2018-12-18 19:29:56;In Standbymodus versetzt;Application API;
2018-12-18 20:04:40;Aus Standbymodus aufgeweckt;;
2018-12-18 20:06:38;In Standbymodus versetzt;Application API;
2018-12-19 06:01:15;Aus Standbymodus aufgeweckt;;
2018-12-19 07:10:11;In Standbymodus versetzt;Application API;
2018-12-19 08:38:28;Aus Standbymodus aufgeweckt;;
2018-12-19 08:45:14;In Standbymodus versetzt;System idle;
2018-12-19 09:43:50;Aus Standbymodus aufgeweckt;;
2018-12-19 10:08:26;In Standbymodus versetzt;Application API;
2018-12-19 10:16:16;Aus Standbymodus aufgeweckt;;
2018-12-19 10:19:17;In Standbymodus versetzt;Application API;
2018-12-19 14:40:15;Aus Standbymodus aufgeweckt;;
2018-12-19 14:50:37;In Standbymodus versetzt;Application API;
2018-12-19 16:05:44;Aus Standbymodus aufgeweckt;;
2018-12-19 16:06:18;In Standbymodus versetzt;Application API;
2018-12-19 16:42:58;Aus Standbymodus aufgeweckt;;
2018-12-19 16:55:29;In Standbymodus versetzt;Application API;
2018-12-19 19:16:10;Aus Standbymodus aufgeweckt;;
2018-12-19 19:16:21;In Standbymodus versetzt;Application API;
2018-12-19 19:16:46;Aus Standbymodus aufgeweckt;;
2018-12-19 19:20:44;In Standbymodus versetzt;Application API;
2018-12-20 06:10:02;Aus Standbymodus aufgeweckt;;
2018-12-20 07:12:27;Heruntergefahren;;
2018-12-20 07:13:37;Start;;
2018-12-20 07:14:54;Heruntergefahren;;
2018-12-20 08:10:10;Start;;
2018-12-20 08:12:30;In Standbymodus versetzt;Application API;
2018-12-20 08:56:07;Aus Standbymodus aufgeweckt;;
2018-12-20 08:57:25;In Standbymodus versetzt;Application API;
2018-12-20 09:20:14;Aus Standbymodus aufgeweckt;;
2018-12-20 09:31:21;In Standbymodus versetzt;Application API;
2018-12-20 09:43:24;Aus Standbymodus aufgeweckt;;
2018-12-20 09:44:19;In Standbymodus versetzt;Application API;
2018-12-20 09:50:01;Aus Standbymodus aufgeweckt;;
2018-12-20 09:54:04;In Standbymodus versetzt;Application API;
2018-12-20 12:14:27;Aus Standbymodus aufgeweckt;;
2018-12-20 12:50:43;In Standbymodus versetzt;Application API;
2018-12-20 19:20:29;Aus Standbymodus aufgeweckt;;
2018-12-20 19:26:24;Heruntergefahren;;
2018-12-20 19:26:40;Start;;
2018-12-20 19:27:54;In Standbymodus versetzt;Application API;
2018-12-21 08:58:41;Aus Standbymodus aufgeweckt;;
2018-12-21 08:59:39;Heruntergefahren;;
2018-12-21 08:59:52;Start;;
2018-12-21 09:06:47;In Standbymodus versetzt;Application API;
2018-12-21 10:10:58;Aus Standbymodus aufgeweckt;;
2018-12-21 10:19:34;In Standbymodus versetzt;Application API;
2018-12-21 10:55:32;Aus Standbymodus aufgeweckt;;
2018-12-21 11:03:46;In Standbymodus versetzt;Application API;
2018-12-21 13:27:52;Aus Standbymodus aufgeweckt;;
2018-12-21 13:35:48;In Standbymodus versetzt;Application API;
2018-12-21 16:37:23;Aus Standbymodus aufgeweckt;;
2018-12-21 16:40:03;In Standbymodus versetzt;Application API;
2018-12-21 18:02:08;Aus Standbymodus aufgeweckt;;
2018-12-21 18:06:42;In Standbymodus versetzt;Application API;
2018-12-21 19:12:41;Aus Standbymodus aufgeweckt;;
2018-12-21 19:24:35;In Standbymodus versetzt;Application API;
2018-12-21 20:18:59;Aus Standbymodus aufgeweckt;;
2018-12-21 20:20:10;In Standbymodus versetzt;Application API;
2018-12-22 06:19:47;Aus Standbymodus aufgeweckt;;
2018-12-22 06:51:12;In Standbymodus versetzt;Application API;
2018-12-22 06:55:05;Aus Standbymodus aufgeweckt;;
2018-12-22 07:13:35;In Standbymodus versetzt;Application API;
2018-12-22 11:15:13;Aus Standbymodus aufgeweckt;;
2018-12-22 11:19:01;In Standbymodus versetzt;Application API;
2018-12-22 12:20:02;Aus Standbymodus aufgeweckt;;
2018-12-22 12:22:53;In Standbymodus versetzt;Application API;
2018-12-22 13:05:02;Aus Standbymodus aufgeweckt;;
2018-12-22 13:11:51;In Standbymodus versetzt;Application API;
2018-12-22 19:21:40;Aus Standbymodus aufgeweckt;;
2018-12-22 19:22:44;In Standbymodus versetzt;Application API;
2018-12-22 20:05:31;Aus Standbymodus aufgeweckt;;
2018-12-22 20:07:26;In Standbymodus versetzt;Application API;
2018-12-23 06:57:03;Aus Standbymodus aufgeweckt;;
2018-12-23 07:13:32;In Standbymodus versetzt;Application API;
2018-12-23 10:04:55;Aus Standbymodus aufgeweckt;;
2018-12-23 10:14:28;In Standbymodus versetzt;Application API;
2018-12-23 10:31:37;Aus Standbymodus aufgeweckt;;
2018-12-23 10:41:09;In Standbymodus versetzt;Application API;
2018-12-23 12:08:57;Aus Standbymodus aufgeweckt;;
2018-12-23 12:19:40;In Standbymodus versetzt;Application API;
2018-12-23 16:21:29;Aus Standbymodus aufgeweckt;;
2018-12-23 16:27:04;In Standbymodus versetzt;Application API;
2018-12-23 20:32:12;Aus Standbymodus aufgeweckt;;
2018-12-23 20:40:25;In Standbymodus versetzt;Application API;
2018-12-24 06:16:01;Aus Standbymodus aufgeweckt;;
2018-12-24 07:11:32;In Standbymodus versetzt;Application API;
2018-12-24 08:39:33;Aus Standbymodus aufgeweckt;;
2018-12-24 09:02:49;In Standbymodus versetzt;Application API;
2018-12-24 09:13:23;Aus Standbymodus aufgeweckt;;
2018-12-24 09:23:17;In Standbymodus versetzt;Application API;
2018-12-24 10:46:53;Aus Standbymodus aufgeweckt;;
2018-12-24 10:47:35;In Standbymodus versetzt;Application API;
2018-12-24 11:49:14;Aus Standbymodus aufgeweckt;;
2018-12-24 11:53:21;In Standbymodus versetzt;Application API;
2018-12-24 11:58:02;Aus Standbymodus aufgeweckt;;
2018-12-24 11:59:37;In Standbymodus versetzt;Application API;
2018-12-24 13:02:01;Aus Standbymodus aufgeweckt;;
2018-12-24 13:04:58;In Standbymodus versetzt;Application API;
2018-12-24 16:58:09;Aus Standbymodus aufgeweckt;;
2018-12-24 17:26:33;In Standbymodus versetzt;System idle;
2018-12-24 19:06:56;Aus Standbymodus aufgeweckt;;
2018-12-24 19:07:26;In Standbymodus versetzt;Application API;
2018-12-24 19:46:49;Aus Standbymodus aufgeweckt;;
2018-12-24 19:47:20;In Standbymodus versetzt;Application API;
2018-12-25 06:33:43;Aus Standbymodus aufgeweckt;;
2018-12-25 07:11:29;In Standbymodus versetzt;Application API;
2018-12-25 10:29:43;Aus Standbymodus aufgeweckt;;
2018-12-25 10:41:07;In Standbymodus versetzt;Application API;
2018-12-25 11:35:42;Aus Standbymodus aufgeweckt;;
2018-12-25 11:38:01;In Standbymodus versetzt;Application API;
2018-12-25 13:21:01;Aus Standbymodus aufgeweckt;;
2018-12-25 13:34:02;In Standbymodus versetzt;Application API;
2018-12-25 19:13:50;Aus Standbymodus aufgeweckt;;
2018-12-25 19:21:31;In Standbymodus versetzt;Application API;
2018-12-25 21:22:47;Aus Standbymodus aufgeweckt;;
2018-12-25 21:23:18;In Standbymodus versetzt;Application API;
2018-12-26 06:07:50;Aus Standbymodus aufgeweckt;;
2018-12-26 07:06:13;In Standbymodus versetzt;Application API;
2018-12-26 10:21:39;Aus Standbymodus aufgeweckt;;
2018-12-26 10:44:28;In Standbymodus versetzt;Application API;
2018-12-26 12:04:05;Aus Standbymodus aufgeweckt;;
2018-12-26 12:13:21;In Standbymodus versetzt;System idle;
2018-12-26 12:13:28;Aus Standbymodus aufgeweckt;;
2018-12-26 12:33:18;In Standbymodus versetzt;Application API;
2018-12-26 15:59:24;Aus Standbymodus aufgeweckt;;
2018-12-26 16:44:07;In Standbymodus versetzt;Application API;
2018-12-26 16:51:49;Aus Standbymodus aufgeweckt;;
2018-12-26 16:57:18;In Standbymodus versetzt;Application API;
2018-12-26 17:19:15;Aus Standbymodus aufgeweckt;;
2018-12-26 17:24:16;In Standbymodus versetzt;Application API;
2018-12-26 17:55:02;Aus Standbymodus aufgeweckt;;
2018-12-26 18:15:28;In Standbymodus versetzt;Application API;
2018-12-26 19:24:53;Aus Standbymodus aufgeweckt;;
2018-12-26 19:29:25;In Standbymodus versetzt;Application API;
2018-12-26 21:39:30;Aus Standbymodus aufgeweckt;;
2018-12-26 21:39:55;In Standbymodus versetzt;Application API;
2018-12-27 06:17:46;Aus Standbymodus aufgeweckt;;
2018-12-27 07:08:36;In Standbymodus versetzt;Application API;
2018-12-27 09:00:25;Aus Standbymodus aufgeweckt;;
2018-12-27 09:38:52;In Standbymodus versetzt;System idle;
2018-12-27 11:46:16;Aus Standbymodus aufgeweckt;;
2018-12-27 12:02:08;In Standbymodus versetzt;Application API;
2018-12-27 12:51:02;Aus Standbymodus aufgeweckt;;
2018-12-27 12:57:06;In Standbymodus versetzt;Application API;
2018-12-27 13:17:06;Aus Standbymodus aufgeweckt;;
2018-12-27 13:18:15;In Standbymodus versetzt;Application API;
2018-12-27 15:53:14;Aus Standbymodus aufgeweckt;;
2018-12-27 16:12:46;In Standbymodus versetzt;Application API;
2018-12-27 16:24:05;Aus Standbymodus aufgeweckt;;
2018-12-27 16:34:08;In Standbymodus versetzt;Application API;
2018-12-27 16:40:41;Aus Standbymodus aufgeweckt;;
2018-12-27 16:42:58;In Standbymodus versetzt;Application API;
2018-12-27 18:23:16;Aus Standbymodus aufgeweckt;;
2018-12-27 18:31:08;In Standbymodus versetzt;Application API;
2018-12-27 19:32:46;Aus Standbymodus aufgeweckt;;
2018-12-27 19:36:08;In Standbymodus versetzt;Application API;
2018-12-27 21:27:25;Aus Standbymodus aufgeweckt;;
2018-12-27 21:27:42;In Standbymodus versetzt;Application API;
2018-12-28 05:59:47;Aus Standbymodus aufgeweckt;;
2018-12-28 06:54:08;In Standbymodus versetzt;Application API;
2018-12-28 06:54:26;Aus Standbymodus aufgeweckt;;
