Zeit; Event; Ursache; Info
2018-10-12 12:43:17;Aus Standbymodus aufgeweckt;;
2018-10-12 13:07:08;In Standbymodus versetzt;Application API;
2018-10-12 14:50:04;Aus Standbymodus aufgeweckt;;
2018-10-12 15:23:05;In Standbymodus versetzt;System idle;
2018-10-12 15:29:16;Aus Standbymodus aufgeweckt;;
2018-10-12 15:41:00;In Standbymodus versetzt;Application API;
2018-10-12 16:26:56;Aus Standbymodus aufgeweckt;;
2018-10-12 16:34:15;In Standbymodus versetzt;Application API;
2018-10-12 16:38:13;Aus Standbymodus aufgeweckt;;
2018-10-12 16:39:10;In Standbymodus versetzt;Application API;
2018-10-12 16:41:44;Aus Standbymodus aufgeweckt;;
2018-10-12 17:14:18;In Standbymodus versetzt;Application API;
2018-10-12 19:09:21;Aus Standbymodus aufgeweckt;;
2018-10-12 19:21:27;In Standbymodus versetzt;Application API;
2018-10-12 21:32:49;Aus Standbymodus aufgeweckt;;
2018-10-12 21:33:31;In Standbymodus versetzt;Application API;
2018-10-13 06:46:16;Aus Standbymodus aufgeweckt;;
2018-10-13 07:08:17;In Standbymodus versetzt;Application API;
2018-10-13 08:38:28;Aus Standbymodus aufgeweckt;;
2018-10-13 08:41:33;In Standbymodus versetzt;Application API;
2018-10-13 09:05:59;Aus Standbymodus aufgeweckt;;
2018-10-13 09:33:13;In Standbymodus versetzt;System idle;
2018-10-13 09:34:57;Aus Standbymodus aufgeweckt;;
2018-10-13 09:39:04;In Standbymodus versetzt;Application API;
2018-10-13 10:12:03;Aus Standbymodus aufgeweckt;;
2018-10-13 10:16:58;In Standbymodus versetzt;Application API;
2018-10-13 10:18:32;Aus Standbymodus aufgeweckt;;
2018-10-13 10:21:29;In Standbymodus versetzt;Application API;
2018-10-13 10:34:10;Aus Standbymodus aufgeweckt;;
2018-10-13 10:37:48;In Standbymodus versetzt;Application API;
2018-10-13 11:54:39;Aus Standbymodus aufgeweckt;;
2018-10-13 12:21:18;In Standbymodus versetzt;Application API;
2018-10-13 12:51:39;Aus Standbymodus aufgeweckt;;
2018-10-13 12:58:34;In Standbymodus versetzt;Application API;
2018-10-13 14:45:28;Aus Standbymodus aufgeweckt;;
2018-10-13 15:10:34;In Standbymodus versetzt;System idle;
2018-10-13 15:17:36;Aus Standbymodus aufgeweckt;;
2018-10-13 15:53:46;In Standbymodus versetzt;Application API;
2018-10-13 16:39:48;Aus Standbymodus aufgeweckt;;
